?LEWI?SKI,_W?adis?aw 19244
BOLLANDT,_Heinrich 19565
BOLLONGIER,_Hans 19566
BOLTRAFFIO,_Giovanni_Antonio 19567
BOMBELLI,_Sebastiano 19568
BONAVIA,_Carlo 19569
BONE,_Henry 19570
BONECHI,_Matteo 19571
BONFIGLI,_Benedetto 19572
BONHEUR,_Rosa 19573
BONIFACIO_VERONESE 19574
BONINGTON,_Richard_Parkes 19575
BONITO,_Giuseppe 19576
BONNAT,_Léon-Joseph-Florentin 19577
BONSIGNORI,_Francesco 19578
BONZI,_Pietro_Paolo 19579
BOONEN,_Arnold 19580
BOR,_Paulus 19581
BORCHT,_Hendrik_van_der,_the_Elder 19582
BORDONE,_Paris 19583
BORGIANNI,_Orazio 19584
BORGO?A,_Juan_de 19585
BOROVIKOVSKY,_Vladimir_Lukich 19586
BORRANI,_Odoardo 19587
BORRÁS,_Fray_Nicolás 19588
BORSATO,_Giuseppe 19589
BORSOS,_József 19590
BORSSOM,_Anthonie_van 19591
BORTOLONI,_Mattia 19592
BOSCH,_Hieronymus 19593
BOSSCHAERT,_Abraham 19594
BOSSCHAERT,_Ambrosius_the_Elder 19595
BOSSCHAERT,_Ambrosius_the_Younger 19596
BOSSCHAERT,_Jan-Baptist 19597
BOSSCHAERT,_Johannes 19598
BOSSCHE,_Balthasar_van_den 19599
BOSSE,_Abraham 19600
BOTH,_Jan 19601
BOTTALLA,_Giovanni_Maria 19602
BOTTANI,_Giuseppe 19603
BOTTICELLI,_Sandro 19604
BOTTICINI,_Francesco 19605
BOTTICINI,_Raffaello 19606
BOUCHER,_François 19607
BOUCLE,_Pierre_van 19608
BOUCQUET,_Victor 19609
BOUDEWIJNS,_Adriaen_Frans 19610
BOUDIN,_Eug?ne 19611
BOUGUEREAU,_William-Adolphe 19612
BOUILLON,_Michel 19613
BOULANGER,_Jean 19614
BOULIAR,_Marie_Genevi?ve 19615
BOULLOGNE,_Louis_the_Younger 19616
BOURDON,_Sébastien 19617
BOURSSE,_Esaias 19618
BOUT,_Pieter 19619
BOUTON,_Charles-Marie 19620
BOUTS,_Dieric_the_Elder 19621
BOUTS,_Dieric_the_Younger 19622
BOUYS,_André 19623
BOYER,_Michel 19624
BOYLE,_Richard,_3rd_Earl_of_Burlington 19625
BOZE,_Joseph 19626
BRACCESCO,_Carlo 19627
BRACQUEMOND,_Marie 19628
BRAKENBURG,_Richard 19629
BRAMANTE,_Donato 19630
BRAMANTINO 19631
BRAMER,_Leonaert 19632
BRAND,_Christian_Hilfgott 19633
BRAND,_Johann_Christian 19634
BRANDI,_Domenico 19635
BRANDI,_Giacinto 19636
BRAY,_Dirck_de 19637
BRAY,_Jan_de 19638
BRAY,_Joseph_de 19639
BRAY,_Salomon_de 19640
BREA,_Louis 19641
BRECK,_John_Leslie 19642
BREDAEL,_Jan_Frans_van 19643
BREDAEL,_Joseph_van 19644
BREEN,_Adam_van 19645
BREENBERGH,_Bartholomeus 19646
BREITNER,_George_Hendrik 19647
BREKELENKAM,_Quiringh_van 19648
BRESCIANINO,_Andrea_del 19649
BRESOLIN,_Domenico 19650
BRETON,_Jules 19651
BREU,_Jörg_the_Elder 19652
BREU,_Jörg_the_Younger 19653
BRIDELL,_Frederick_Lee 19654
BRIL,_Paul 19655
BRINCKMANN,_Philipp_Hieronymus 19656
BRIZIO,_Francesco 19657
BROC,_Jean 19658
BROCKY,_Károly 19659
BRODSZKY,_Sándor 19660
BROECK,_Elias_van_den 19661
BROEDERLAM,_Melchior 19662
BROMPTON,_Richard 19663
BRONCHORST,_Jan_Gerritsz_van 19664
BRONCHORST,_Johannes_van 19665
BRONZINO,_Agnolo 19666
BROOKING,_Charles 19667
BROSAMER,_Hans 19668
BROUWER,_Adriaen 19669
BROUWER,_Gerloff 19670
BROWN,_Ford_Madox 19671
BROWN,_Mather 19672
BRUCE,_William_Blair 19673
BRUEGEL,_Pieter_the_Elder 19674
BRUEGHEL,_Abraham 19675
BRUEGHEL,_Ambrosius 19676
BRUEGHEL,_Jan_the_Elder 19677
BRUEGHEL,_Jan_the_Younger 19678
BRUEGHEL,_Pieter_III 19679
BRUEGHEL,_Pieter_the_Younger 19680
BRUNELLESCHI,_Filippo 19681
BRUNI,_Domenico 19682
BRUSASORCI,_Domenico 19683
BRUSSEL,_Paul_Theodor_van 19684
BRUYN,_Barthel_the_Elder 19685
BRUYN,_Barthel_the_Younger 19686
BRYULLOV,_Karl_Pavlovich 19687
BUESEM,_Jan_Jansz. 19688
BUFFALMACCO,_Bounamico 19689
BUGIARDINI,_Giuliano 19690
BUNDEL,_Willem_van_den 19691
BUONCONSIGLIO,_Giovanni 19692
BURCH,_Hendrick_van_der 19693
BURGKMAIR,_Hans 19694
BURGOS,_Juan_de 19695
BURNE-JONES,_Edward 19696
BURY,_Friedrich 19697
BUSIRI,_Giovanni_Battista 19698
BUTI,_Lodovico 19699
BUTINONE,_Bernardino_Jacopi 19700
BUTTAFOGO,_Antonio 19701
BUTTERI,_Giovanni_Maria 19702
BUYS,_Jacobus 19703
BUYTEWECH,_Willem_Pietersz. 19704
BYSS,_Johann_Rudolf 19705
BÉLIARD,_Edouard 19706
BÉRAUD,_Jean 19707
BÖCKLIN,_Arnold 19708
BÜRKEL,_Heinrich 19709
CABANEL,_Alexandre 19710
CABEZALERO,_Juan_Martín 19711
CABIANCA,_Vincenzo 19712
CACCIA,_Guglielmo 19713
CACCIA,_Orsola_Maddalena 19714
CAFFI,_Ippolito 19715
CAGNACCI,_Guido 19716
CAILLEBOTTE,_Gustave 19717
CAIRO,_Francesco_del 19718
CAJÉS,_Eugenio 19719
CAJÉS,_Patrizio 19720
CALAME,_Alexandre 19721
CALCAR,_Jan_Steven_van 19722
CALIARI,_Benedetto 19723
CALIARI,_Carlo 19724
CALLET,_Antoine-François 19725
CALRAET,_Abraham_van 19726
CALS,_Adolphe-Félix 19727
CALVAERT,_Denys 19728
CALVI,_Jacopo_Alessandro 19729
CAMASSEI,_Andrea 19730
CAMBIASO,_Luca 19731
CAMILO,_Francisco 19732
CAMMARANO,_Michele 19733
CAMPA?A,_Pedro_de 19734
CAMPEN,_Jacob_van 19735
CAMPHUYSEN,_Govert_Dircksz. 19736
CAMPI,_Antonio 19737
CAMPI,_Giulio 19738
CAMPI,_Vincenzo 19739
CAMPROBÍN,_Pedro_de 19740
CAMUCCINI,_Vincenzo 19741
CANAL,_Bernardo 19742
CANALETTO 19743
CANAVESIO,_Giovanni 19744
CANDID,_Peter 19745
CANE,_Ottaviano 19746
CANELLA,_Giuseppe 19747
CANO,_Alonso 19748
CANTARINI,_Simone 19749
CANTOFOLI,_Ginevra 19750
CANUTI,_Domenico_Maria 19751
CAPANNA,_Puccio 19752
CAPELLI,_Camillo_di 19753
CAPORALI,_Bartolomeo 19754
CAPPELLA,_Francesco 19755
CAPPELLE,_Jan_van_de 19756
CAPRIOLO,_Domenico 19757
CARACCIOLO,_Giovanni_Battista 19758
CARAGLIO,_Giovanni_Jacopo 19759
CARAVAGGIO 19760
CARDUCHO,_Bartolomé 19761
CARDUCHO,_Vicente 19762
CARIANI,_Giovanni 19763
CARLEVARIS,_Luca 19764
CARLEVARIS,_Marianna 19765
CARLONE,_Carlo_Innocenzo 19766
CARLONE,_Giovanni_Andrea 19767
CARLONE,_Giovanni_Battista 19768
CARNEVALE,_Fra 19769
CARNICERO_Y_MANCIO,_Antonio 19770
CARNOVALI,_Giovanni 19771
CARO,_Baldassare_de 19772
CAROLUS-DURAN 19773
CARON,_Antoine 19774
CAROSELLI,_Angelo 19775
CAROTO,_Giovanni_Francesco 19776
CARPACCIO,_Vittore 19777
CARPI,_Girolamo_da 19778
CARPIONI,_Giulio 19779
CARRACCI,_Agostino 19780
CARRACCI,_Annibale 19781
CARRACCI,_Antonio 19782
CARRACCI,_Lodovico 19783
CARRE?O_DE_MIRANDA,_Juan 19784
CARRI?RE,_Eug?ne 19785
CARRIERA,_Rosalba 19786
CARUS,_Carl_Gustav 19787
CASALI,_Andrea 19788
CASAS_I_CARBÓ,_Ramón 19789
CASINI,_Valore 19790
CASSANA,_Giovanni_Agostino 19791
CASSANA,_Niccol? 19792
CASSATT,_Mary 19793
CASSIOLI,_Amos 19794
CASTAGNOLI,_Giuseppe 19795
CASTEELS,_Pieter 19796
CASTELLANO,_Manuel 19797
CASTELLO,_Valerio 19798
CASTELLÓ,_Vicente 19799
CASTIGLIONE,_Giovanni_Benedetto 19800
CASTILLO,_Antonio_del 19801
CATARINO 19802
CATEL,_Franz_Ludwig 19803
CATENA,_Vincenzo 19804
CATI_DA_IESI,_Pasquale 19805
CATLIN,_George 19806
CATS,_Dirck_van 19807
CAULLERY,_Louis_de 19808
CAVALLINI,_Pietro 19809
CAVALLINO,_Bernardo 19810
CAVALORI,_Mirabello 19811
CAVAROZZI,_Bartolomeo 19812
CAVAZZOLA 19813
CAVEDONE,_Giacomo 19814
CAYLINA,_Paolo_the_Elder 19815
CAZES,_Pierre-Jacques 19816
CAZIN,_Jean-Charles 19817
CECCARELLI,_Naddo 19818
CECCO_BRAVO 19819
CECCO_DEL_CARAVAGGIO 19820
CECCO_DI_PIETRO 19821
CELESTI,_Andrea 19822
CENNI_di_Francesco_di_Ser_Cenni 19823
CERESA,_Carlo 19824
CEREZO,_Mateo_the_Younger 19825
CERNOTTO,_Stefano 19826
CERRINI,_Giovanni_Domenico 19827
CERUTI,_Giacomo 19828
CERVELLI,_Federico 19829
CESARE_da_Sesto 19830
CESARI,_Giuseppe 19831
CHAMBERLIN,_Mason_the_Elder 19832
CHAMPAIGNE,_Jean-Baptiste_de 19833
CHAMPAIGNE,_Philippe_de 19834
CHANDLER,_John_Westbrooke 19835
CHANGENET,_Jean 19836
CHARDIN,_Jean-Baptiste-Siméon 19837
CHARLET,_Nicolas-Toussaint 19838
CHARONTON,_Enguerrand 19839
CHARPENTIER,_Constance 19840
CHARPENTIER,_Jean-Baptiste_the_Elder 19841
CHASE,_William_Merritt 19842
CHASSÉRIAU,_Théodore 19843
CHAUVIN,_Pierre-Athanase 19844
CHERNETSOV,_Grigory_Grigorievich 19845
CHIARI,_Giuseppe_Bartolomeo 19846
CHILONE,_Vincenzo 19847
CHODOWIECKI,_Daniel_Nikolaus 19848
CHRISTUS,_Petrus 19849
CHURCH,_Frederic_Edwin 19850
CHÂTELET,_Claude-Louis 19851
CIAMPANTI,_Michele 19852
CIAMPANTI,_Michele_di_Michele 19853
CIAMPELLI,_Agostino 19854
CIARDI,_Guglielmo 19855
CIGNANI,_Carlo 19856
CIGNAROLI,_Giambettino 19857
CIGNAROLI,_Scipione 19858
CIGOLI 19859
CIMA_da_Conegliano 19860
CIMABUE 19861
CIMAROLI,_Giovanni_Battista 19862
CINCINNATO,_Romulo 19863
CINGANELLI,_Michelangelo 19864
CIPPER,_Giacomo_Francesco 19865
CIRCIGNANI,_Niccol? 19866
CISERI,_Antonio 19867
CITTADINI,_Pier_Francesco 19868
CIVITALE,_Matteo 19869
CLAEISSENS,_Antoon 19870
CLAEISSENS,_Pieter_the_Younger 19871
CLAESZ.,_Anthony_II 19872
CLAESZ.,_Jan 19873
CLAESZ.,_Pieter 19874
CLAEUW,_Jacques_de 19875
CLAUDE_LORRAIN 19876
CLAUS,_Emile 19877
CLAUSEN,_George 19878
CLERCK,_Hendrik_de 19879
CLEVE,_Cornelis_van 19880
CLEVE,_Hendrick_van_III 19881
CLEVE,_Joos_van 19882
CLEVE,_Marten_van_I 19883
CLEVELEY,_John_the_Elder 19884
CLEVELEY,_John_the_Younger 19885
CLINT,_George 19886
CLONNEY,_James_Goodwyn 19887
CLOSTERMAN,_John 19888
CLOUET,_François 19889
CLOUET,_Jean 19890
CLOVIO,_Giulio 19891
CLÉRISSEAU,_Charles_Louis 19892
COCK,_Jan_Wellens_de 19893
COCK,_Paul_de 19894
CODAZZI,_Viviano 19895
CODDE,_Pieter 19896
CODINO,_Francesco 19897
COECKE_VAN_AELST,_Pieter 19898
COELLO,_Claudio 19899
COESERMANS,_Johannes 19900
COIGNET,_Jules 19901
COLA_DI_PETRUCCIOLI 19902
COLE,_Thomas 19903
COLI,_Giovanni 19904
COLIN,_Alexandre-Marie 19905
COLLANTES,_Francisco 19906
COLLIER,_Edwart 19907
COLLINS,_Charles 19908
COLLINS,_William 19909
COLOMBEL,_Nicolas 19910
COLONNA,_Angelo_Michele 19911
COLSON,_Jean-François 19912
COMPE,_Jan_ten 19913
CONCA,_Sebastiano 19914
CONCA,_Tommaso 19915
CONGNET,_Gillis 19916
CONINCK,_David_de 19917
CONINXLOO,_Gillis_van 19918
CONSTABLE,_John 19919
CONSTANTINI,_Ermenegildo 19920
CONTE,_Jacopino_del 19921
CONTE,_Meiffren 19922
CONTI,_Domenico 19923
CONTI,_Francesco 19924
COOKE,_Edward_William 19925
COOMANS,_Pierre_Olivier_Joseph 19926
COOPER,_Abraham 19927
COOPER,_Thomas_Sidney 19928
COORTE,_Adriaen 19929
COPLEY,_John_Singleton 19930
COPPO_DI_MARCOVALDO 19931
COQUES,_Gonzales 19932
CORINTH,_Lovis 19933
CORMON,_Fernand 19934
CORNEILLE_DE_LYON 19935
CORNEILLE,_Michel_I 19936
CORNELIS_VAN_HAARLEM 19937
CORNELISZ_VAN_OOSTSANEN,_Jacob 19938
CORNELIUS,_Peter 19939
CORNET,_Jacobus_Ludovicus 19940
CORONA,_Leonardo 19941
COROT,_Jean-Baptiste_Camille 19942
CORREGGIO 19943
CORTE,_Gabriel_de_la 19944
CORTE,_Juan_de_la 19945
CORTONA,_Pietro_da 19946
CORVI,_Domenico 19947
COSSA,_Francesco_del 19948
COSSIERS,_Jan 19949
COSTA,_Lorenzo_the_Elder 19950
COSTA,_Lorenzo_the_Younger 19951
COSWAY,_Richard 19952
COT,_Pierre-Auguste 19953
COTELLE,_Jean_II 19954
COTER,_Colijn_de 19955
COTES,_Francis 19956
COTMAN,_Frederick_George 19957
COTMAN,_John_Sell 19958
COURBET,_Gustave 19959
COURT,_Joseph-Désiré 19960
COURTOIS,_Guillaume 19961
COURTOIS,_Jacques 19962
COUSIN,_Jean_the_Elder 19963
COUSIN,_Jean_the_Younger 19964
COUSTENS,_Pieter 19965
COUWENBERGH,_Christiaen_van 19966
COX,_David 19967
COXCIE,_Michiel_van 19968
COYPEL,_Antoine 19969
COYPEL,_Charles-Antoine 19970
COYPEL,_Noel-Nicolas 19971
COZENS,_John_Robert 19972
COZZARELLI,_Guidoccio 19973
CRAEN,_Lauren 19974
CRAEN,_Laurens 19975
CRAESBEECK,_Josse_van 19976
CRANACH,_Hans 19977
CRANACH,_Lucas_the_Elder 19978
CRANACH,_Lucas_the_Younger 19979
CRAYER,_Gaspard_de 19980
CRESCENZI,_Giovanni_Battista 19981
CRESPI,_Daniele 19982
CRESPI,_Giovanni_Battista 19983
CRESPI,_Giuseppe_Maria 19984
CRESPI,_Luigi 19985
CRETI,_Donato 19986
CRIVELLI,_Angelo_Maria 19987
CRIVELLI,_Carlo 19988
CRIVELLI,_Vittore 19989
CROOS,_Anthonie_Jansz._van_der 19990
CROPSEY,_Jasper_Francis 19991
CROSATO,_Giovanni_Battista 19992
CROSS,_Henri-Edmond 19993
CRUZ,_Diego_de_la 19994
CRÉPIN,_Louis_Philippe 19995
CSONTVÁRY_KOSZTKA,_Tivadar 19996
CUIRIS,_Juan_Bautista 19997
CULLEN,_Maurice_Galbraith 19998
CURRADI,_Francesco 19999
CUYCK_VAN_MYEROP,_Frans 20000
CUYLENBORCH,_Abraham_van 20001
CUYP,_Aelbert 20002
CUYP,_Benjamin_Gerritsz. 20003
CUYP,_Jacob_Gerritsz. 20004
CÉZANNE,_Paul 20005
CÓRDOBA,_Pedro_de 20006
D'ORSI,_Achille 20007
DADDI,_Bernardo 20008
DAEL,_Jan_Frans_van 20009
DAFFINGER,_Moritz_Michael 20010
DAGNAN-BOUVERET,_Pascal-Adolphe-Jean 20011
DAHL,_Johan_Christian_Clausen 20012
DALEM,_Cornelis_van 20013
DALENS,_Dirck_I 20014
DALENS,_Dirck_II 20015
DALENS,_Dirck_III 20016
